Data,Cliques,Impressões,CTR,Posição
2025-08-24,0,3,0%,21.3
2025-08-25,2,6,33.33%,2
2025-08-26,2,2,100%,1
2025-08-27,4,12,33.33%,2.2
2025-08-28,16,28,57.14%,1.8
2025-08-29,2,5,40%,2.2
2025-08-30,4,6,66.67%,1.5
2025-08-31,2,3,66.67%,1.3
2025-09-01,23,41,56.1%,4.5
2025-09-02,26,33,78.79%,1.7
2025-09-03,8,21,38.1%,1.8
2025-09-04,8,18,44.44%,8.8
2025-09-05,9,29,31.03%,18.8
2025-09-06,1,19,5.26%,37.3
2025-09-07,2,30,6.67%,32.5
2025-09-08,10,49,20.41%,20
2025-09-09,22,60,36.67%,15.9
2025-09-10,13,107,12.15%,37.3
2025-09-11,11,64,17.19%,33
2025-09-12,4,37,10.81%,38.6
2025-09-13,6,23,26.09%,19.7
2025-09-14,4,17,23.53%,15.8
2025-09-15,10,18,55.56%,1.7
2025-09-16,10,26,38.46%,1.3
2025-09-17,6,16,37.5%,1.9
2025-09-18,2,12,16.67%,2.2
2025-09-19,4,11,36.36%,2.1
2025-09-20,0,0,,
2025-09-21,3,5,60%,1.4
2025-09-22,4,13,30.77%,2
2025-09-23,2,9,22.22%,5.3
2025-09-24,1,6,16.67%,4.7
2025-09-25,2,4,50%,1.5
2025-09-26,4,12,33.33%,2
2025-09-27,1,2,50%,2.5
2025-09-28,1,4,25%,1.2
2025-09-29,2,5,40%,1.2
2025-09-30,5,9,55.56%,2
2025-10-01,6,10,60%,1.1
2025-10-02,3,12,25%,4.8
2025-10-03,1,3,33.33%,1
2025-10-04,1,6,16.67%,2.3
2025-10-05,1,5,20%,2.6
2025-10-06,0,15,0%,2.5
2025-10-07,2,11,18.18%,2.1
2025-10-08,5,14,35.71%,1
2025-10-09,3,10,30%,2.1
2025-10-10,1,8,12.5%,1.1
2025-10-11,0,5,0%,2
2025-10-12,0,1,0%,1
2025-10-13,1,8,12.5%,2.5
2025-10-14,4,11,36.36%,1.8
2025-10-15,2,7,28.57%,4.1
2025-10-16,2,6,33.33%,1
2025-10-17,6,10,60%,1
2025-10-18,1,7,14.29%,3
2025-10-19,1,4,25%,2
2025-10-20,4,10,40%,1.1
2025-10-21,3,6,50%,1
2025-10-22,1,6,16.67%,1.2
2025-10-23,0,5,0%,3.2
2025-10-24,4,11,36.36%,2.5
2025-10-25,0,6,0%,1
2025-10-26,0,1,0%,1
2025-10-27,2,11,18.18%,1.9
2025-10-28,1,6,16.67%,1.8
2025-10-29,4,12,33.33%,2.2
2025-10-30,4,15,26.67%,1.9
2025-10-31,1,11,9.09%,4.8
2025-11-01,1,7,14.29%,3.6
2025-11-02,1,5,20%,5
2025-11-03,3,7,42.86%,1.1
2025-11-04,2,10,20%,4.2
2025-11-05,2,5,40%,1.2
2025-11-06,5,11,45.45%,1.2
2025-11-07,3,6,50%,2.2
2025-11-08,0,5,0%,3.2
2025-11-09,2,4,50%,1
2025-11-10,2,8,25%,1
2025-11-11,3,15,20%,3
2025-11-12,2,12,16.67%,3.2
2025-11-13,3,16,18.75%,2.1
2025-11-14,2,7,28.57%,1.6
2025-11-15,2,6,33.33%,1.8
2025-11-16,0,4,0%,5.8
2025-11-17,0,6,0%,1.3
2025-11-18,0,2,0%,2
2025-11-19,2,14,14.29%,1.8
2025-11-20,1,4,25%,1.5
2025-11-21,1,3,33.33%,1
2025-11-22,0,3,0%,2
2025-11-23,1,2,50%,1
2025-11-24,2,11,18.18%,2.3
2025-11-25,3,16,18.75%,2.2
2025-11-26,2,7,28.57%,1.7
2025-11-27,3,10,30%,3
2025-11-28,0,7,0%,1.7
2025-11-29,1,2,50%,4
