País,Cliques,Impressões,CTR,Posição
Brasil,1291,4810,26.84%,5.81
Portugal,11,74,14.86%,14.92
Estados Unidos,5,240,2.08%,9.22
Austrália,4,6,66.67%,12.83
Índia,1,10,10%,21
Irlanda,1,3,33.33%,3
Uruguai,1,2,50%,2.5
França,1,2,50%,3.5
Japão,1,1,100%,3
Irã,1,1,100%,127
Canadá,0,18,0%,4.61
Angola,0,12,0%,10.17
Moçambique,0,8,0%,2.88
Argentina,0,6,0%,17.83
Polônia,0,5,0%,4.8
China,0,4,0%,6.75
Reino Unido,0,4,0%,15
Colômbia,0,3,0%,1
México,0,3,0%,1.67
Singapura,0,3,0%,4.33
Bangladesh,0,3,0%,8
Alemanha,0,3,0%,21
Hong Kong,0,3,0%,53.33
Rússia,0,3,0%,54
Chile,0,2,0%,1
Filipinas,0,2,0%,1
Países Baixos,0,2,0%,1.5
Itália,0,2,0%,2.5
Suécia,0,2,0%,12.5
Áustria,0,2,0%,24.5
Taiwan,0,2,0%,33
Iraque,0,1,0%,1
Peru,0,1,0%,1
Uganda,0,1,0%,1
Venezuela,0,1,0%,1
República Dominicana,0,1,0%,2
Jordânia,0,1,0%,2
Malásia,0,1,0%,2
Tailândia,0,1,0%,3
Espanha,0,1,0%,5
Macau,0,1,0%,5
Coréia do Sul,0,1,0%,6
Bielorrússia,0,1,0%,7
Etiópia,0,1,0%,8
Indonésia,0,1,0%,8
República Tcheca,0,1,0%,16
Equador,0,1,0%,18
Turquia,0,1,0%,19
Quênia,0,1,0%,40
Israel,0,1,0%,82
Bulgária,0,1,0%,91
